AppID:3202104023544, AppVersion: 1.0.2, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18ae5a42212becb1d58c2  
AppID:3201804016164, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18ae8a42212becb1d58e2  
AppID:3202104023432, AppVersion: 1.0.0, CertStep: Verification ModelStatus: Tested(Fail),ObjectID: 60d18ae9a42212becb1d58ed  
AppID:3201711015200, AppVersion: 16.2.5, CertStep: Verification ModelStatus: Request Test,ObjectID: 60d18aeaa42212becb1d58fe  
AppID:3202008021516, AppVersion: 1.0.19, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18af3a42212becb1d5974  
AppID:111399001578, AppVersion: 2.15.1, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18af5a42212becb1d5985  
AppID:3201811017266, AppVersion: 61.86.13, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18af6a42212becb1d5993  
AppID:111399000735, AppVersion: 4.0.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18af8a42212becb1d59b6  
AppID:3202105023693, AppVersion: 3.0.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18b03a42212becb1d5a3a  
AppID:3202101022723, AppVersion: 4.3.5, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18b07a42212becb1d5a64  
AppID:111299002125, AppVersion: 7.17.2, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18b0ca42212becb1d5a9e  
AppID:3202006021135, AppVersion: 2.1.4, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18b0da42212becb1d5aa6  
AppID:3202010022057, AppVersion: 2.0.4, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18b11a42212becb1d5acf  
AppID:3202001020074, AppVersion: 3.3.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18b12a42212becb1d5adc  
AppID:3201609010551, AppVersion: 2.3.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18f9aa42212becb1d7505  
AppID:3201608010221, AppVersion: 2.3.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18f9ca42212becb1d77a4  
AppID:3201812017530, AppVersion: 2.0.4, CertStep: Verification ModelStatus: Request Test,ObjectID: 60d18f9da42212becb1d7a02  
